Sample,1 direciton,Million Reads,CAZymes,Buscos,total proteins
D18,12.6,25.2,487,1082,16873
D25,9.4,18.8,225,901,12998
D27,10.1,20.2,211,926,12401
D28,10.8,21.6,333,1025,16376
D29,10,20,430,1074,16582
D30,8.6,17.2,316,1028,12127
D31,7.6,15.2,324,1048,12567
D32,7,14,340,936,16549
D33,11,22,397,1022,15788
D35,14.4,28.8,288,1095,11006
D36,14.6,29.2,257,1011,13334
D38,6.9,13.8,205,1142,9451
D39,7.5,15,411,1070,14219
D41,5.9,11.8,278,1071,13282
D44,9.4,18.8,245,1065,10754
D49,8.8,17.6,374,1116,12368
D50,11.8,23.6,334,887,18220
D51,11.2,22.4,243,1052,10915
D58,7.8,15.6,319,1086,15442
D59,7.9,15.8,287,1028,18820
D62,6.4,12.8,424,1107,13564
D63,7.9,15.8,343,1125,9948
D64,7.7,15.4,364,975,13557
D65,8.2,16.4,281,1026,11149
D66,8,16,384,1055,15594